question,answers,ctxs,nq_annotated_gold.title,nq_annotated_gold.long_answer,nq_annotated_gold.chunked_long_answer,nq_annotated_gold.short_answers
fast & furious 8 release date in india,"['April 12, 2017']","[{'title': 'The Fate of the Furious', 'text': 'The Fate of the Furious had its world premiere in Berlin on April 4, 2017. The film was theatrically released in the United States on April 14, 2017, playing in 3D, IMAX 3D, and 4DX internationally, and received a day-and-date release across major markets such as Australia, the United Kingdom, China, and India, beginning on April 12, 2017.  The film was released day-and-date in 1,074 IMAX screens around the world, making it the widest day-and-date opening in IMAX history.', 'hasanswer': True, 'isgold': True}]",The Fate of the Furious,"The Fate of the Furious had its world premiere in Berlin on April 4, 2017. The film was theatrically released in the United States on April 14, 2017, playing in 3D, IMAX 3D, and 4DX internationally, and received a day-and-date release across major markets such as Australia, the United Kingdom, China, and India, beginning on April 12, 2017. The film was released day-and-date in 1,074 IMAX screens around the world, making it the widest day-and-date opening in IMAX history.","The Fate of the Furious had its world premiere in Berlin on April 4, 2017. The film was theatrically released in the United States on April 14, 2017, playing in 3D, IMAX 3D, and 4DX internationally, and received a day-and-date release across major markets such as Australia, the United Kingdom, China, and India, beginning on April 12, 2017.  The film was released day-and-date in 1,074 IMAX screens around the world, making it the widest day-and-date opening in IMAX history.","['April 12, 2017']"
the group that officially elects the president of the united states is called,"['the U.S. Electoral College', 'U.S. Electoral College']","[{'title': 'United States presidential election', 'text': 'The election of President and Vice President of the United States is an indirect election in which citizens of the United States who are registered to vote in one of the 50 U.S. states or in Washington, D.C. cast ballots not directly for those offices, but instead for members of the U.S. Electoral College, known as electors.  These electors then in turn cast direct votes, known as electoral votes, for President, and for Vice President. The candidate who receives an absolute majority of electoral votes (at least 270 out of a total of 538, since the Twenty-Third Amendment granting voting', 'hasanswer': True, 'isgold': True}]",United States presidential election,"The election of President and Vice President of the United States is an indirect election in which citizens of the United States who are registered to vote in one of the 50 U.S. states or in Washington, D.C. cast ballots not directly for those offices, but instead for members of the U.S. Electoral College, known as electors. These electors then in turn cast direct votes, known as electoral votes, for President, and for Vice President. The candidate who receives an absolute majority of electoral votes (at least 270 out of a total of 538, since the Twenty-Third Amendment granting voting rights to citizens of Washington, D.C.) is then elected to that office. If no candidate receives an absolute majority of the votes for President, the House of Representatives chooses the winner; if no one receives an absolute majority of the votes for Vice President, then the Senate chooses the winner.","The election of President and Vice President of the United States is an indirect election in which citizens of the United States who are registered to vote in one of the 50 U.S. states or in Washington, D.C. cast ballots not directly for those offices, but instead for members of the U.S. Electoral College, known as electors.  These electors then in turn cast direct votes, known as electoral votes, for President, and for Vice President. The candidate who receives an absolute majority of electoral votes (at least 270 out of a total of 538, since the Twenty-Third Amendment granting voting","['U.S. Electoral College', 'the U.S. Electoral College']"
who played raquel in only fools and horses,['Tessa Peake-Jones'],"[{'title': 'Tessa Peake-Jones', 'text': 'Tessa Peake-Jones (born 9 May 1957) is an English actress.  She is known for her role as Raquel in the BBC sitcom Only Fools and Horses, whom she played from December 1988 until it ended in 2003.', 'hasanswer': True, 'isgold': True}]",Tessa Peake-Jones,"Tessa Peake-Jones (born 9 May 1957) is an English actress. She is known for her role as Raquel in the BBC sitcom Only Fools and Horses, whom she played from December 1988 until it ended in 2003.","Tessa Peake-Jones (born 9 May 1957) is an English actress.  She is known for her role as Raquel in the BBC sitcom Only Fools and Horses, whom she played from December 1988 until it ended in 2003.",['Tessa Peake-Jones']
what type of political system does el salvador have,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']","[{'title': 'Politics of El Salvador', 'text': 'Politics of El Salvador takes place in land a framework of a presidential representative democratic republic, whereby the President of El Salvador is both head of state and head of government, and of an Executive power is exercised by the government.', 'hasanswer': True, 'isgold': True}]",Politics of El Salvador,"Politics of El Salvador takes place in land a framework of a presidential representative democratic republic, whereby the President of El Salvador is both head of state and head of government, and of an Executive power is exercised by the government.","Politics of El Salvador takes place in land a framework of a presidential representative democratic republic, whereby the President of El Salvador is both head of state and head of government, and of an Executive power is exercised by the government.","['a presidential representative democratic republic', 'presidential representative democratic republic']"
when did they stop making pull tabs on beer cans,"['1990', '1970s']","[{'title': 'Beverage can', 'text': 'The safety and litter problems were both eventually solved later in the 1970s with Daniel F. Cudzik\'s invention of the non-removing ""Stay-Tab"".  The pull-ring was replaced with a stiff aluminium lever, and the removable tab was replaced with a pre-scored round tab that functioned similarly to the push-tab, but the raised blister was no longer needed, as the riveted lever would now do the job of pushing the tab open and into the interior of the can.', 'hasanswer': True, 'isgold': True}]",Beverage can,"The safety and litter problems were both eventually solved later in the 1970s with Daniel F. Cudzik's invention of the non-removing ""Stay-Tab"". The pull-ring was replaced with a stiff aluminium lever, and the removable tab was replaced with a pre-scored round tab that functioned similarly to the push-tab, but the raised blister was no longer needed, as the riveted lever would now do the job of pushing the tab open and into the interior of the can.","The safety and litter problems were both eventually solved later in the 1970s with Daniel F. Cudzik's invention of the non-removing ""Stay-Tab"".  The pull-ring was replaced with a stiff aluminium lever, and the removable tab was replaced with a pre-scored round tab that functioned similarly to the push-tab, but the raised blister was no longer needed, as the riveted lever would now do the job of pushing the tab open and into the interior of the can.",['1970s']
when does the movie jeepers creepers come out,"['September 26, 2017']","[{'title': 'Jeepers Creepers 3', 'text': ""During an interview for the Edmond Sun, Justin Hall specifically revealed that the film would be released on September 4, but nothing was confirmed by Victor Salva or the movie studio. On August 16, the AMC Theaters website stated Jeepers Creepers 3 opens on September 26, 2017.  On August 29, selected theaters began selling tickets along with the official poster, revealing that the film would be on display for only one night. Fathom Events then announced that the film's premiere would also feature never-before-seen bonus pictures and an interview with Jonathan Breck, who plays the Creeper in all three franchise"", 'hasanswer': True, 'isgold': True}]",Jeepers Creepers 3,"During an interview for the Edmond Sun, Justin Hall specifically revealed that the film would be released on September 4, but nothing was confirmed by Victor Salva or the movie studio. On August 16, the AMC Theaters website stated Jeepers Creepers 3 opens on September 26, 2017. On August 29, selected theaters began selling tickets along with the official poster, revealing that the film would be on display for only one night. Fathom Events then announced that the film's premiere would also feature never-before-seen bonus pictures and an interview with Jonathan Breck, who plays the Creeper in all three franchise films. A second showing in theaters on October 4 was later added. Fandango updated the brief film synopsis shortly after, ""this Fall, the Creeper returns. See the next film in the iconic horror franchise when Jeepers Creepers 3 returns for a special encore event in movie theaters nationwide for only one night on Wednesday, October 4."" Other participating theaters included Marcus Theaters and Galaxy Theaters","During an interview for the Edmond Sun, Justin Hall specifically revealed that the film would be released on September 4, but nothing was confirmed by Victor Salva or the movie studio. On August 16, the AMC Theaters website stated Jeepers Creepers 3 opens on September 26, 2017.  On August 29, selected theaters began selling tickets along with the official poster, revealing that the film would be on display for only one night. Fathom Events then announced that the film's premiere would also feature never-before-seen bonus pictures and an interview with Jonathan Breck, who plays the Creeper in all three franchise","['September 26, 2017']"
when did how you remind me come out,"['August\xa021,\xa02001', 'August 21, 2001']","[{'title': 'How You Remind Me', 'text': '""How You Remind Me"" is a song by Canadian rock band Nickelback. It was released on August 21, 2001 as the lead single from their third studio album Silver Side Up (2001).  A ""Gold Mix"" was made for latter editions of the single with the heavier guitars edited out of the chorus. Lead vocalist and guitarist Chad Kroeger wrote the song about his old girlfriend Jodi, with whom he had a dysfunctional relationship. He referred to this song as the song that put Nickelback on the map when played at their concert in Sturgis, South Dakota, and is often considered', 'hasanswer': True, 'isgold': True}]",How You Remind Me,"""How You Remind Me"" is a song by Canadian rock band Nickelback. It was released on August 21, 2001 as the lead single from their third studio album Silver Side Up (2001). A ""Gold Mix"" was made for latter editions of the single with the heavier guitars edited out of the chorus. Lead vocalist and guitarist Chad Kroeger wrote the song about his old girlfriend Jodi, with whom he had a dysfunctional relationship. He referred to this song as the song that put Nickelback on the map when played at their concert in Sturgis, South Dakota, and is often considered to be their signature song.","""How You Remind Me"" is a song by Canadian rock band Nickelback. It was released on August 21, 2001 as the lead single from their third studio album Silver Side Up (2001).  A ""Gold Mix"" was made for latter editions of the single with the heavier guitars edited out of the chorus. Lead vocalist and guitarist Chad Kroeger wrote the song about his old girlfriend Jodi, with whom he had a dysfunctional relationship. He referred to this song as the song that put Nickelback on the map when played at their concert in Sturgis, South Dakota, and is often considered","['August 21, 2001']"
the joint between a coxal bone of the pelvis and the sacrum,['sacroiliac joint'],"[{'title': 'Sacroiliac joint', 'text': 'The sacroiliac joint or SI joint (SIJ) is the joint between the sacrum and the ilium bones of the pelvis, which are connected by strong ligaments. In humans, the sacrum supports the spine and is supported in turn by an ilium on each side. The joint is a strong, weight transferral synovial plane joint with irregular elevations and depressions that produce interlocking of the two bones. The human body has two sacroiliac joints, one on the left and one on the right, that often match each other but are highly variable from person to person.', 'hasanswer': True, 'isgold': True}]",Sacroiliac joint,"The sacroiliac joint or SI joint (SIJ) is the joint between the sacrum and the ilium bones of the pelvis, which are connected by strong ligaments. In humans, the sacrum supports the spine and is supported in turn by an ilium on each side. The joint is a strong, weight transferral synovial plane joint with irregular elevations and depressions that produce interlocking of the two bones. The human body has two sacroiliac joints, one on the left and one on the right, that often match each other but are highly variable from person to person.","The sacroiliac joint or SI joint (SIJ) is the joint between the sacrum and the ilium bones of the pelvis, which are connected by strong ligaments. In humans, the sacrum supports the spine and is supported in turn by an ilium on each side. The joint is a strong, weight transferral synovial plane joint with irregular elevations and depressions that produce interlocking of the two bones. The human body has two sacroiliac joints, one on the left and one on the right, that often match each other but are highly variable from person to person.",['sacroiliac joint']
what is the song in red dead redemption,['Far Away'],"[{'title': 'Music of Red Dead Redemption', 'text': 'Red Dead Redemption won the award for Best Original Music from GameSpot, and Best Original Score at the Spike Video Game Awards; the latter also awarded ""Far Away"" by José González with Best Song in a Game.  Gonzalez performed the song on Zane Lowe\'s show on BBC Radio 1 in June 2010, at the Rockstar offices in New York in July 2010, and at the Spike Video Game Awards in December 2010. The performance at the Spike Video Game Awards was accompanied by a music video for the song, which Rockstar published a few weeks later. Ashtar Command also performed', 'hasanswer': True, 'isgold': True}]",Music of Red Dead Redemption,"Red Dead Redemption won the award for Best Original Music from GameSpot, and Best Original Score at the Spike Video Game Awards; the latter also awarded ""Far Away"" by José González with Best Song in a Game. Gonzalez performed the song on Zane Lowe's show on BBC Radio 1 in June 2010, at the Rockstar offices in New York in July 2010, and at the Spike Video Game Awards in December 2010. The performance at the Spike Video Game Awards was accompanied by a music video for the song, which Rockstar published a few weeks later. Ashtar Command also performed a live version of the song ""Deadman's Gun"" in August 2010. The popularity of the game has led to numerous cover versions of the music being released by various artists, such as musician Ben ""Squid Physics"" Morfitt, and artist María Katt.","Red Dead Redemption won the award for Best Original Music from GameSpot, and Best Original Score at the Spike Video Game Awards; the latter also awarded ""Far Away"" by José González with Best Song in a Game.  Gonzalez performed the song on Zane Lowe's show on BBC Radio 1 in June 2010, at the Rockstar offices in New York in July 2010, and at the Spike Video Game Awards in December 2010. The performance at the Spike Video Game Awards was accompanied by a music video for the song, which Rockstar published a few weeks later. Ashtar Command also performed",['Far Away']
when did stephen curry won the mvp award,"['2015,', '2015', '2014–15', '2016']","[{'title': 'Stephen Curry', 'text': 'Curry II (/ˈstɛfən/ STEF-ən; born March 14, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Many players and analysts have called him the greatest shooter in NBA history. In 2014–15, Curry won the NBA Most Valuable Player Award and led the Warriors to their first championship since 1975.  The following season, he became the first player in NBA history to be elected MVP by a unanimous vote and to lead the league in scoring while shooting above 50–40–90. That same year, the Warriors broke the record for the most wins', 'hasanswer': True, 'isgold': True}]",Stephen Curry,"Wardell Stephen Curry II (/ˈstɛfən/ STEF-ən; born March 14, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Many players and analysts have called him the greatest shooter in NBA history. In 2014–15, Curry won the NBA Most Valuable Player Award and led the Warriors to their first championship since 1975. The following season, he became the first player in NBA history to be elected MVP by a unanimous vote and to lead the league in scoring while shooting above 50–40–90. That same year, the Warriors broke the record for the most wins in an NBA season en route to reaching the 2016 NBA Finals. Curry helped the Warriors return to the NBA Finals for a third straight year in 2017, where he won his second NBA championship.","Curry II (/ˈstɛfən/ STEF-ən; born March 14, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Many players and analysts have called him the greatest shooter in NBA history. In 2014–15, Curry won the NBA Most Valuable Player Award and led the Warriors to their first championship since 1975.  The following season, he became the first player in NBA history to be elected MVP by a unanimous vote and to lead the league in scoring while shooting above 50–40–90. That same year, the Warriors broke the record for the most wins",['2014–15']
who ran the fastest 40 yard dash in the nfl,"['Jakeem Grant', 'John Ross']","[{'title': '40-yard dash', 'text': ""Auburn's Bo Jackson claims to have run a 40-yard dash with a time of 4.13 s. A time of 4.18 run by Jackson within the same week added some support to the legitimacy of the times. Texas Tech's Jakeem Grant was hand-timed by a New Orleans Saints scout as running a 4.10 in 2016, potentially beating Jackson's record.  Deion Sanders ran a 4.27-second 40-yard dash in 1989."", 'hasanswer': True, 'isgold': True}]",40-yard dash,"Auburn's Bo Jackson claims to have run a 40-yard dash with a time of 4.13 s. A time of 4.18 run by Jackson within the same week added some support to the legitimacy of the times. Texas Tech's Jakeem Grant was hand-timed by a New Orleans Saints scout as running a 4.10 in 2016, potentially beating Jackson's record. Deion Sanders ran a 4.27-second 40-yard dash in 1989.","Auburn's Bo Jackson claims to have run a 40-yard dash with a time of 4.13 s. A time of 4.18 run by Jackson within the same week added some support to the legitimacy of the times. Texas Tech's Jakeem Grant was hand-timed by a New Orleans Saints scout as running a 4.10 in 2016, potentially beating Jackson's record.  Deion Sanders ran a 4.27-second 40-yard dash in 1989.",['Jakeem Grant']
whats the difference between tomato paste and tomato puree,['consistency'],"[{'title': 'Tomato purée', 'text': 'Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.', 'hasanswer': True, 'isgold': True}]",Tomato purée,"Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.","Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.",['consistency']
what type of plate boundary is associated with iceland and its volcanic eruptions,"['divergent tectonic plate boundary', 'a divergent tectonic plate boundary', 'the mid-Atlantic Ridge']","[{'title': 'Volcanology of Iceland', 'text': ""Volcanology of Iceland includes a high concentration of active volcanoes due to Iceland's location on the mid-Atlantic Ridge, a divergent tectonic plate boundary, and also due to its location over a hot spot.  The island has 30 active volcanic systems, of which 13 have erupted since the settlement of Iceland in AD 874."", 'hasanswer': True, 'isgold': True}]",Volcanology of Iceland,"Volcanology of Iceland includes a high concentration of active volcanoes due to Iceland's location on the mid-Atlantic Ridge, a divergent tectonic plate boundary, and also due to its location over a hot spot. The island has 30 active volcanic systems, of which 13 have erupted since the settlement of Iceland in AD 874.","Volcanology of Iceland includes a high concentration of active volcanoes due to Iceland's location on the mid-Atlantic Ridge, a divergent tectonic plate boundary, and also due to its location over a hot spot.  The island has 30 active volcanic systems, of which 13 have erupted since the settlement of Iceland in AD 874.","['a divergent tectonic plate boundary', 'divergent tectonic plate boundary', 'the mid-Atlantic Ridge']"
who is the presiding officer of legislative council in india,['Chairman'],"[{'title': 'Member of the Legislative Assembly (India)', 'text': 'Similar to the Presiding officers of the Lok Sabha and the Rajya Sabha, the Legislative Assembly and the Legislative Council also have Presiding Officers. The Legislative Assembly has a Speaker and a Deputy Speaker and the Legislative Council has a Chairman and a Deputy Chairman.  They are elected from among the members of the House.', 'hasanswer': True, 'isgold': True}]",Member of the Legislative Assembly (India),"Similar to the Presiding officers of the Lok Sabha and the Rajya Sabha, the Legislative Assembly and the Legislative Council also have Presiding Officers. The Legislative Assembly has a Speaker and a Deputy Speaker and the Legislative Council has a Chairman and a Deputy Chairman. They are elected from among the members of the House.","Similar to the Presiding officers of the Lok Sabha and the Rajya Sabha, the Legislative Assembly and the Legislative Council also have Presiding Officers. The Legislative Assembly has a Speaker and a Deputy Speaker and the Legislative Council has a Chairman and a Deputy Chairman.  They are elected from among the members of the House.",['Chairman']
when was son of a preacher man released,"['late 1968', 'November 8, 1968']","[{'title': 'Son of a Preacher Man', 'text': 'Springfield\'s version was produced by Jerry Wexler, Tom Dowd and Arif Mardin for her first album for the Atlantic Records label and became an international hit reaching No.10 in the United States and No.9 in her native Great Britain when it was released in late 1968.  The album Dusty in Memphis was released in stereo, though its singles were remixed and released in mono. ""Son of a Preacher Man"" was to be the last Top Ten chart hit for Springfield for almost 20 years, till she teamed up with Pet Shop Boys for the single ""What Have I Done to', 'hasanswer': True, 'isgold': True}]",Son of a Preacher Man,"Springfield's version was produced by Jerry Wexler, Tom Dowd and Arif Mardin for her first album for the Atlantic Records label and became an international hit reaching No.10 in the United States and No.9 in her native Great Britain when it was released in late 1968. The album Dusty in Memphis was released in stereo, though its singles were remixed and released in mono. ""Son of a Preacher Man"" was to be the last Top Ten chart hit for Springfield for almost 20 years, till she teamed up with Pet Shop Boys for the single ""What Have I Done to Deserve This?"" in 1987.","Springfield's version was produced by Jerry Wexler, Tom Dowd and Arif Mardin for her first album for the Atlantic Records label and became an international hit reaching No.10 in the United States and No.9 in her native Great Britain when it was released in late 1968.  The album Dusty in Memphis was released in stereo, though its singles were remixed and released in mono. ""Son of a Preacher Man"" was to be the last Top Ten chart hit for Springfield for almost 20 years, till she teamed up with Pet Shop Boys for the single ""What Have I Done to",['late 1968']
when did the first train run in england,"['1560s', 'As early as 1671', '1830', '1804']","[{'title': 'History of rail transport in Great Britain', 'text': 'The railway system of Great Britain, the principal territory of the United Kingdom, is the oldest in the world. It was started with the building of local isolated wooden wagonways starting in 1560s.  The system was later built as a patchwork of local rail links operated by small private railway companies in late 18th century. These isolated links developed during the railway boom of the 1840s into a national network, although still run by dozens of competing companies. Over the course of the 19th and early 20th centuries, these amalgamated or were bought by competitors until only a handful of', 'hasanswer': True, 'isgold': True}]",History of rail transport in Great Britain,"The railway system of Great Britain, the principal territory of the United Kingdom, is the oldest in the world. It was started with the building of local isolated wooden wagonways starting in 1560s. The system was later built as a patchwork of local rail links operated by small private railway companies in late 18th century. These isolated links developed during the railway boom of the 1840s into a national network, although still run by dozens of competing companies. Over the course of the 19th and early 20th centuries, these amalgamated or were bought by competitors until only a handful of larger companies remained (see railway mania). The entire network was brought under government control during the First World War and a number of advantages of amalgamation and planning were revealed. However, the government resisted calls for the nationalisation of the network. In 1923, almost all the remaining companies were grouped into the ""big four"", the Great Western Railway, the London and North Eastern Railway, the London, Midland and Scottish Railway and the Southern Railway. The ""Big Four"" were joint-stock public companies and they continued to run the railway system until 31 December 1947.","The railway system of Great Britain, the principal territory of the United Kingdom, is the oldest in the world. It was started with the building of local isolated wooden wagonways starting in 1560s.  The system was later built as a patchwork of local rail links operated by small private railway companies in late 18th century. These isolated links developed during the railway boom of the 1840s into a national network, although still run by dozens of competing companies. Over the course of the 19th and early 20th centuries, these amalgamated or were bought by competitors until only a handful of",['1560s']
when did the united kingdom entered world war 2,['1939'],"[{'title': 'British Empire in World War II', 'text': ""On 1 September 1939, Germany invaded Poland.  Two days later, on 3 September, after a British ultimatum to Germany to cease military operations was ignored, Britain and France declared war on Germany. Britain's declaration of war automatically committed India, the Crown colonies, and the protectorates, but the 1931 Statute of Westminster had granted autonomy to the Dominions so each decided their course separately."", 'hasanswer': True, 'isgold': True}]",British Empire in World War II,"On 1 September 1939, Germany invaded Poland. Two days later, on 3 September, after a British ultimatum to Germany to cease military operations was ignored, Britain and France declared war on Germany. Britain's declaration of war automatically committed India, the Crown colonies, and the protectorates, but the 1931 Statute of Westminster had granted autonomy to the Dominions so each decided their course separately.","On 1 September 1939, Germany invaded Poland.  Two days later, on 3 September, after a British ultimatum to Germany to cease military operations was ignored, Britain and France declared war on Germany. Britain's declaration of war automatically committed India, the Crown colonies, and the protectorates, but the 1931 Statute of Westminster had granted autonomy to the Dominions so each decided their course separately.",['1939']
who invented the cornell method of note taking,['Walter Pauk'],"[{'title': 'Cornell Notes', 'text': 'The Cornell Notes system (also Cornell note-taking system, Cornell method, or Cornell way) is a note-taking system devised in the 1940s by Walter Pauk, an education professor at Cornell University.  Pauk advocated its use in his best-selling book How to Study in College.', 'hasanswer': True, 'isgold': True}]",Cornell Notes,"The Cornell Notes system (also Cornell note-taking system, Cornell method, or Cornell way) is a note-taking system devised in the 1940s by Walter Pauk, an education professor at Cornell University. Pauk advocated its use in his best-selling book How to Study in College.","The Cornell Notes system (also Cornell note-taking system, Cornell method, or Cornell way) is a note-taking system devised in the 1940s by Walter Pauk, an education professor at Cornell University.  Pauk advocated its use in his best-selling book How to Study in College.",['Walter Pauk']
who sings will you still love me when i'm not young and beautiful,['Lana Del Rey'],"[{'title': 'Young and Beautiful (Lana Del Rey song)', 'text': '""Young and Beautiful"" is a song by American singer and songwriter Lana Del Rey used for the soundtrack to the drama film The Great Gatsby (2013).  It was released on April 23, 2013 through Interscope Records as the lead single from the soundtrack. ""Young and Beautiful"" was written by Del Rey and Rick Nowels, who also produced the song. The music video features an orchestral version of the song, produced by Dan Heath, which is included on the deluxe edition of the soundtrack.', 'hasanswer': True, 'isgold': True}]",Young and Beautiful (Lana Del Rey song),"""Young and Beautiful"" is a song by American singer and songwriter Lana Del Rey used for the soundtrack to the drama film The Great Gatsby (2013). It was released on April 23, 2013 through Interscope Records as the lead single from the soundtrack. ""Young and Beautiful"" was written by Del Rey and Rick Nowels, who also produced the song. The music video features an orchestral version of the song, produced by Dan Heath, which is included on the deluxe edition of the soundtrack.","""Young and Beautiful"" is a song by American singer and songwriter Lana Del Rey used for the soundtrack to the drama film The Great Gatsby (2013).  It was released on April 23, 2013 through Interscope Records as the lead single from the soundtrack. ""Young and Beautiful"" was written by Del Rey and Rick Nowels, who also produced the song. The music video features an orchestral version of the song, produced by Dan Heath, which is included on the deluxe edition of the soundtrack.",['Lana Del Rey']
when did world war 2 officially start and end,"['1939', '1945', '2\xa0September\xa01945', '1\xa0September\xa01939']","[{'title': 'World War II', 'text': ""World War\xa0II (often abbreviated to WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945, although related conflicts began earlier.  It involved the vast majority of the world's countries—including all of the great powers—eventually forming two opposing military alliances: the Allies and the Axis. It was the most widespread war in history, and directly involved more than 100 million people from over 30 countries. In a state of total war, the major participants threw their entire economic, industrial, and scientific capabilities behind the war effort, erasing the distinction between"", 'hasanswer': True, 'isgold': True}]",World War II,"World War II (often abbreviated to WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945, although related conflicts began earlier. It involved the vast majority of the world's countries—including all of the great powers—eventually forming two opposing military alliances: the Allies and the Axis. It was the most widespread war in history, and directly involved more than 100 million people from over 30 countries. In a state of total war, the major participants threw their entire economic, industrial, and scientific capabilities behind the war effort, erasing the distinction between civilian and military resources.","World War II (often abbreviated to WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945, although related conflicts began earlier.  It involved the vast majority of the world's countries—including all of the great powers—eventually forming two opposing military alliances: the Allies and the Axis. It was the most widespread war in history, and directly involved more than 100 million people from over 30 countries. In a state of total war, the major participants threw their entire economic, industrial, and scientific capabilities behind the war effort, erasing the distinction between","['1939', '1945']"
factories that assemble parts made in other countries,['special economic zones'],"[{'title': 'Maquiladora', 'text': ""In Mexico, a maquiladora (Spanish pronunciation: [makilaˈðoɾa]) or maquila (IPA: [maˈkila]) is a manufacturing operation, where factories import certain material and equipment on a duty-free and tariff-free basis for assembly, processing, or manufacturing and then export the assembled, processed and/or manufactured products, sometimes back to the raw materials' country of origin. They are an example of special economic zones as seen in many countries."", 'hasanswer': True, 'isgold': True}]",Maquiladora,"In Mexico, a maquiladora (Spanish pronunciation: [makilaˈðoɾa]) or maquila (IPA: [maˈkila]) is a manufacturing operation, where factories import certain material and equipment on a duty-free and tariff-free basis for assembly, processing, or manufacturing and then export the assembled, processed and/or manufactured products, sometimes back to the raw materials' country of origin. They are an example of special economic zones as seen in many countries.","In Mexico, a maquiladora (Spanish pronunciation: [makilaˈðoɾa]) or maquila (IPA: [maˈkila]) is a manufacturing operation, where factories import certain material and equipment on a duty-free and tariff-free basis for assembly, processing, or manufacturing and then export the assembled, processed and/or manufactured products, sometimes back to the raw materials' country of origin. They are an example of special economic zones as seen in many countries.",['special economic zones']
what type of song is what a wonderful world,"['a pop ballad', 'jazz', 'pop ballad', 'Traditional pop']","[{'title': 'What a Wonderful World', 'text': '""What a Wonderful World"" is a pop ballad written by Bob Thiele (as ""George Douglas"") and George David Weiss.  It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong\'s recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.', 'hasanswer': True, 'isgold': True}]",What a Wonderful World,"""What a Wonderful World"" is a pop ballad written by Bob Thiele (as ""George Douglas"") and George David Weiss. It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong's recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.","""What a Wonderful World"" is a pop ballad written by Bob Thiele (as ""George Douglas"") and George David Weiss.  It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong's recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.","['a pop ballad', 'pop ballad']"
tujhe dekha toh yeh jana sanam movie name,['Dilwale Dulhania Le Jayenge'],"[{'title': 'Dilwale Dulhania Le Jayenge', 'text': 'Dilwale Dulhania Le Jayenge was filmed in several 5-, 10- and 20-day schedules between September\xa01994 and August\xa01995.  The first sequence filmed was for the song ""Ho Gaya Hai Tujhko"" with Kajol and Shah Rukh in Switzerland. The European journey scenes and songs were mainly filmed in Saanen, Montbovon and Gstaad, Switzerland. Other scenes were shot in England, at locations including Trafalgar Square, King\'s Cross railway station and Angel Underground station. Film\'s cinematographer Manmohan Singh, a regular collaborator with Chopra, shot the song ""Tujhe Dekha To"", including the iconic mustard fields scenes with Shah Rukh and Kajol in the', 'hasanswer': True, 'isgold': True}]",Dilwale Dulhania Le Jayenge,"Dilwale Dulhania Le Jayenge was filmed in several 5-, 10- and 20-day schedules between September 1994 and August 1995. The first sequence filmed was for the song ""Ho Gaya Hai Tujhko"" with Kajol and Shah Rukh in Switzerland. The European journey scenes and songs were mainly filmed in Saanen, Montbovon and Gstaad, Switzerland. Other scenes were shot in England, at locations including Trafalgar Square, King's Cross railway station and Angel Underground station. Film's cinematographer Manmohan Singh, a regular collaborator with Chopra, shot the song ""Tujhe Dekha To"", including the iconic mustard fields scenes with Shah Rukh and Kajol in the mustard fields in Gurgaon on the outskirts of the National Capital Region Delhi.","Dilwale Dulhania Le Jayenge was filmed in several 5-, 10- and 20-day schedules between September 1994 and August 1995.  The first sequence filmed was for the song ""Ho Gaya Hai Tujhko"" with Kajol and Shah Rukh in Switzerland. The European journey scenes and songs were mainly filmed in Saanen, Montbovon and Gstaad, Switzerland. Other scenes were shot in England, at locations including Trafalgar Square, King's Cross railway station and Angel Underground station. Film's cinematographer Manmohan Singh, a regular collaborator with Chopra, shot the song ""Tujhe Dekha To"", including the iconic mustard fields scenes with Shah Rukh and Kajol in the",['Dilwale Dulhania Le Jayenge']
